file_name,bounding_box_volume,aspect_ratio,convex_hull_volume,sphericity,symmetry_deviation
17767_Centaurea%20nigra%20-%20Common%20knapweed_NIH3D.stl,33367.97997684889,1.0364318158917774,18316.091570073688,0.9181586347168436,19.31667099023766
17775_Allium_schoenoprasum_-_Chive_NIH3D.stl,8296.423176684193,1.5256539322662006,3232.5201493932977,0.8463290521495225,13.089053864850454
17776_Lobularia%20maritima%20-%20Sweet%20alyssum_NIH3D.stl,4488.867642954953,1.8297724491578713,2248.9294302744443,0.2849070471802911,17.281290671317425
17777_Rubus%20fruticosus%20-%20Blackberry_NIH3D.stl,21601.179354951877,1.2112689932259881,10293.755190175647,0.8406605932868954,17.19999880786466
17778_Salix%20alba%20-%20Willow_NIH3D.stl,5917.265359455397,1.03444231342904,3069.4950338614635,0.38797819650110243,10.476293401339202
17779_Fragaria%20ananassa%20-%20Garden%20strawberry_NIH3D.stl,17574.83733867868,1.2287830525080083,8551.647032881383,0.3078256959716181,11.76518801844342
17781_Thymus%20vulgaris%20-%20Common%20thyme_NIH3D.stl,32442.78658133998,1.172872485352931,16537.17002872998,0.9165129335269312,21.875131202459645
17782_Lilium%20auratum%20-%20Golden-rayed%20lily_NIH3D.stl,184814.33042990047,1.8590774219170756,110725.32133242158,0.6069431117551544,25.23497838005712
17783_Plantago%20lanceolata%20-%20Ribwort%20plantain_NIH3D.stl,18591.361390678372,1.081959136051938,9477.836034475662,0.9742476666634979,13.091001069185731
17784_Rosa%20-%20Rose_NIH3D.stl,14313.973081409113,1.5803724370820613,7048.805538424383,0.8116058795946398,19.634671552210385
17785_calystegia_sepium-bindweed_NIH3D.stl,404023.4007200003,1.0611112762068318,211221.20921407777,0.9464090329602707,16.169551684246372
17786_Papaver%20-%20Welsh%20poppy_NIH3D.stl,35906.33274211946,1.0147419139053881,19130.028081651086,0.7392397318693724,20.419300808324767
17787_Iris%20pseudacorus%20-%20Yellow%20iris_NIH3D.stl,642580.9299587269,1.0147540964125283,334428.4552971716,0.18592823749006612,45.39270689574132
17788_Ulex%20europaeus%20-%20Gorse_NIH3D.stl,23655.32373435905,1.1234369425014594,11679.303547733714,0.94165060186787,16.01205010501159
17789_Digitalis%20purpurea%20-%20Fox%20glove_NIH3D.stl,26684.663147272833,1.0547233838143446,13721.614538587695,0.5509311115535344,22.208391734592755
17790_Sambucus%20nigra%20-%20Elder_NIH3D.stl,5355.697898126189,1.9605054635168297,2375.692950864932,0.46175101861699297,12.692334236828437
17791_Camellia%20japonica%20-%20Camellia_NIH3D.stl,120623.01685329119,1.214771991672123,62889.76743558821,0.30244486195088455,21.75519939341156
17792_Callistemon%20citrinus%20-%20Bottlebrush_NIH3D.stl,7861.827163936819,1.2497843375208249,3745.0239243129417,0.37754811695045226,17.39663866370561
17793_Cordyline%20australis%20-%20Cabbage%20palm_NIH3D.stl,15419.61006896858,2.4081917938888213,7102.874244929676,0.6419751955709213,20.5229754832061
17794_Buddleja%20davidii%20-%20Butterfly%20bush_NIH3D.stl,24344.899499401377,1.1579709898456765,11694.779289569411,0.9330430048360108,21.500087145554325
17795_Calluna_vulgaris%20-%20Heather_NIH3D.stl,36849.03302014471,1.087880168974389,18160.59321441442,0.2934051538722162,19.307848284830897
17796_Fuchsia%20magellanica%20-%20Hardy%20fuchsia_NIH3D.stl,184093.11330596427,1.4423880159557083,73393.44537825619,0.27458892053499717,40.11310754226959
17798_Solanum%20lycopersicum%20-%20Tomato_NIH3D.stl,17648.77312941715,1.3974022991904085,9188.126090966209,0.9315268686080473,13.914830804230576
17799_Cirsium%20vulgare%20-%20Common%20thistle_NIH3D.stl,63260.188144684376,1.0165441217282136,32362.051527454165,0.875128841532872,20.45020034374784
17801_Clematis%20-%20Clematis_NIH3D.stl,8895.507146677568,1.0525136919065508,4637.313575301227,0.8371211703634756,10.536176359537684
17802_Sorbus%20aria%20-%20Whitebeam_NIH3D.stl,118571.3458038344,1.0599156063799964,62422.431372186256,0.661644318665224,23.298767518677938
17803_Leucanthemum%20vulgare%20-%20Ox-eye%20daisy_NIH3D.stl,41492.86428120654,1.0807086434716102,19761.301404115064,0.8010558807921331,20.8017905365904
17805_Campanula%20portenschlagiana%20-%20Wall%20bellflower_NIH3D.stl,57235.590595549904,1.0625965195898686,30447.986697485598,0.7974550310749604,23.74689381218015
17806_anthriscus_sylvestris-cow_parsley_NIH3D.stl,28020.06319903863,1.430392996790737,12297.823812158811,0.3989828919400036,26.12045942354985
17810_Betula%20pendula%20-%20Silver%20birch_NIH3D.stl,11420.63574479544,1.1681933053158309,5690.545003490876,0.33022636608310296,16.25453686144969
17811_Chenopodium%20album%20-%20Goosefoot_NIH3D.stl,13829.462815118324,1.0393021708786592,7359.04329518441,0.339828871356145,11.153734709679746
17812_Prunus%20avium%20-%20Sweet%20cherry_NIH3D.stl,33365.02832653704,2.127652016685504,18270.79704056495,0.8123156929660726,21.863698086841232
17813_Rosmarinus%20officinalis%20-%20Rosemary_NIH3D.stl,41343.08817578742,2.103793030636262,20870.648250262337,0.8205209945903,23.903534290549228
17814_Calendula%20officinalis%20-%20Marigold_NIH3D.stl,60242.31053618106,1.0907469455461374,31803.91397858304,0.7067181568096071,24.750702016736174
17815_Cytisus%20scoparius%20-%20Broom_NIH3D.stl,10356.130725915868,1.1804716103543715,6061.110364168065,0.4531885384071402,14.223270293012419
17816_Trifolium%20repens%20-%20White%20clover_NIH3D.stl,8849.112140345114,1.3521136897135413,5116.978493817591,0.6159094100757442,13.047697896247492
