file_name,num_vertices,num_faces,bounding_box,extents,surface_area,is_watertight,euler_number,volume,convexity_ratio,mean_edge_length,min_edge_length,max_edge_length,edge_length_std,normal_consistency,point_density,aspect_ratio,point_mean_x,point_mean_y,point_mean_z,point_std_x,point_std_y,point_std_z,point_x_skew,point_x_kurtosis,point_y_skew,point_y_kurtosis,point_z_skew,point_z_kurtosis
17767_Centaurea%20nigra%20-%20Common%20knapweed_NIH3D.stl,99186,198368,"[[12.2262001  14.3178997   1.77855003]
 [44.71519852 45.79729843 34.40480042]]","[32.48899841308594, 31.479398727416992, 32.6262503862381]",3481.059600358711,True,2,16990.947035843423,0.9276513480422104,0.22965030822725668,0.006333796794659254,0.8864397769124229,0.10108898884233326,0.4838834892724633,2.9724903955473616,1.0364318158917774,28.95994651245976,30.145670402565717,17.965202464645746,9.111992058731893,9.114517869484734,9.534629483656937,-0.043452116094105146,-1.1982507676703607,0.01618787636155152,-1.2241800608180335,-0.01971963522758263,-1.252364166369087
17775_Allium_schoenoprasum_-_Chive_NIH3D.stl,39836,79668,"[[10.98509979  9.72506046  0.198963  ]
 [28.69519997 36.45899963 17.72190094]]","[17.710100173950195, 26.733939170837402, 17.522937938570976]",1210.948764651934,True,2,3085.114876277135,0.9543992716816203,0.20395258089822374,0.03051797584022145,0.4945074200398678,0.08330585186499878,0.5935381834613647,4.801587280643167,1.5256539322662006,19.94051949041625,22.68320428578687,7.807067756098448,4.590300847481068,7.243615184971728,4.928052043222618,-0.028098341362588885,-1.0129818269894235,0.04696540991663885,-1.076389216641492,0.23048466255245778,-1.075895816318018
17776_Lobularia%20maritima%20-%20Sweet%20alyssum_NIH3D.stl,90020,181272,"[[13.37150002 16.89209938  1.45009995]
 [38.01139832 30.42079926 14.91619968]]","[24.6398983001709, 13.52869987487793, 13.466099739074707]",2379.155165955164,False,-563,,,0.18174588652133186,0.01707596747704889,0.6325956207013641,0.058197517651233155,0.4854307339247098,20.054055311985366,1.8297724491578713,25.782923468893024,23.642207518050206,8.746883647171714,5.671729605264436,2.957789631068133,3.1076167169077804,-0.020651636384497834,-0.7619683903366119,0.012059163327751992,-0.5827857180713076,-0.21683980814181625,-0.5287294463914876
17777_Rubus%20fruticosus%20-%20Blackberry_NIH3D.stl,82007,163942,"[[11.12209988 15.82730007  1.98994994]
 [39.67490005 40.81890106 32.26150131]]","[28.552800178527832, 24.99160099029541, 30.271551370620728]",2642.9755169273244,True,36,9847.921052154668,0.9566888730318243,0.22260301146855563,0.004300307736870088,0.9450309590473426,0.10503867870410848,0.5089299874345805,3.796413087103072,1.2112689932259881,25.933562084384416,28.158960980997193,17.649853532952104,7.678276128865349,6.987277682656363,8.023831740502754,-0.11143952356444849,-1.0160611553624581,0.06937840162476376,-1.1169238099801966,-0.06449822860018042,-1.0625759700533213
17778_Salix%20alba%20-%20Willow_NIH3D.stl,82380,164768,"[[ 6.47849989  8.09424019  1.95377004]
 [24.93050003 26.07220078 19.79140091]]","[18.4520001411438, 17.97796058654785, 17.83763086795807]",1679.8940654342573,True,-4,1564.6155310670738,0.5097305953607496,0.17375969775478023,0.021471732010268092,0.754347027496947,0.0745885051580523,0.48910589434841717,13.921971552004548,1.03444231342904,15.46309216927408,16.944322042227533,10.898222052813267,4.833268556052292,4.588331886672916,4.827834393578976,0.0204557240883026,-1.1006156212011144,0.015115919624728615,-1.0626795686806843,0.08455348319974258,-1.1046438233549896
17779_Fragaria%20ananassa%20-%20Garden%20strawberry_NIH3D.stl,82614,165232,"[[ 2.98723006  7.32780981  1.71298003]
 [32.54669952 31.38369942 26.42869949]]","[29.55946946144104, 24.05588960647583, 24.71571946144104]",3801.818335586806,True,-2,3764.594120991105,0.4402186042660659,0.25762900747269335,0.024832685219228663,1.1354312312922525,0.10312025926302097,0.5191004163842355,4.70069784476373,1.2287830525080083,18.23048499524578,19.80276812030513,13.957655680512838,7.4489941714761265,6.170545362123469,6.588445919404443,-0.0033207162928672006,-0.9941776398250335,-0.03358417768880647,-1.075248406978087,0.023920666801199492,-1.1019986546822014
17781_Thymus%20vulgaris%20-%20Common%20thyme_NIH3D.stl,83564,167096,"[[16.38599968 17.82760048  1.52180004]
 [48.57550049 52.20930099 30.83589935]]","[32.18950080871582, 34.38170051574707, 29.314099311828613]",3360.83832726246,True,16,16075.079970714403,0.9720574888440473,0.24041484617075562,0.005057114774922585,0.8739002879219963,0.09800077553370055,0.499832431656054,2.575734355940413,1.172872485352931,32.89326065433023,34.73626990845785,16.35019220239383,8.820133761347728,9.378113176802094,8.5412229472155,-0.05703168794427528,-1.1370435266358492,0.029085329509250454,-1.1051441642582465,-0.044323099611603876,-1.1946522059709532
17782_Lilium%20auratum%20-%20Golden-rayed%20lily_NIH3D.stl,83865,167776,"[[10.05099964  1.63855004  0.109713  ]
 [69.85839844 77.4332962  40.87979889]]","[59.80739879608154, 75.7947461605072, 40.770085886120796]",17051.459595321852,False,8,,,0.5033579987800088,0.07719274776044485,1.5904397157424102,0.1485870844551568,0.5119087354567995,0.4537797464348131,1.8590774219170756,38.18155674624315,37.59546739582165,22.269917270988053,15.647870247404438,20.27457053560348,12.76472979893675,0.2107645249902156,-0.9353282580374911,0.14773354321821128,-1.0422495090902095,-0.20972289702584987,-1.337943845322475
17783_Plantago%20lanceolata%20-%20Ribwort%20plantain_NIH3D.stl,79525,158918,"[[ 6.90115023  5.95558977  0.285027  ]
 [32.44630051 33.5943985  26.61700058]]","[25.54515027999878, 27.638808727264404, 26.33197358250618]",2203.2849655010587,True,66,9351.55605017589,0.9866762851941695,0.20575225113835915,0.00041217711279542915,0.9688019627971719,0.10108721683290728,0.4859109729546055,4.277524293614856,1.081959136051938,19.855445421590645,19.570517171748318,13.531291155654843,7.473349345567726,7.642415487636065,7.487717746204322,-0.02868524580899305,-1.229153270617316,-0.050927416734393445,-1.179111518831606,0.02099195566218724,-1.2109648065227212
17784_Rosa%20-%20Rose_NIH3D.stl,80450,160896,"[[17.7798996  13.94569969  1.54525995]
 [41.31980133 44.94540024 21.16069984]]","[23.539901733398438, 30.99970054626465, 19.615439891815186]",2037.3993760798219,True,2,6322.74757039456,0.8969956024361931,0.19411125914805843,0.0026069799918968482,0.8988223607023249,0.0911235555962773,0.4834054295942721,5.620382233671229,1.5803724370820613,29.178557712422872,28.940598398473906,12.597237749608142,6.276032390077478,8.339162172353063,5.714268879184419,0.09509213360923965,-1.059806767063353,0.016471349993722843,-1.1061407408594535,-0.29122158046024244,-1.104802984637488
